,city,date,pm2_5,pm10,no2,so2,o3,hospital_id,respiratory_cases,avg_age_of_patients,weather_temperature,weather_humidity,wind_speed,rainfall_mm,population_density,industrial_activity_index
0,AJAH,2021-01-01,39.86,98.09,54.93,29.68,46.0,HOSP_AJA_10,14.0,48.0,27.7,60.0,1.0,9.3,13683.2,0.77
1,AJAH,2021-01-01,68.06,80.35,58.54,33.05,48.53,HOSP_AJA_6,16.0,44.9,25.9,52.4,3.2,5.0,15838.7,0.27
2,AJAH,2021-01-01,77.6,76.6,58.08,25.11,17.85,HOSP_AJA_10,9.0,22.7,27.9,51.9,3.2,8.4,17918.3,0.3
3,AJAH,2021-01-01,90.22,98.94,74.46,19.47,35.27,HOSP_AJA_7,12.0,41.4,28.9,73.6,3.8,0.3,28635.0,0.51
4,AJAH,2021-01-01,85.23,95.18,40.59,14.81,52.23,HOSP_AJA_3,17.0,37.0,32.4,70.4,2.2,10.0,24057.7,0.77
5,AJAH,2021-01-01,76.38,49.25,63.69,18.87,53.46,HOSP_AJA_6,9.0,38.2,29.1,65.8,3.6,7.1,21661.8,0.72
6,AJAH,2021-01-01,99.91,43.44,73.97,8.25,45.98,HOSP_AJA_8,14.0,48.8,25.6,66.5,2.7,6.6,14741.9,0.28
7,AJAH,2021-01-01,51.51,110.95,33.05,29.88,33.4,HOSP_AJA_1,13.0,42.6,29.4,56.3,1.5,9.6,11331.4,0.39
8,AJAH,2021-01-01,82.29,110.63,51.63,18.03,40.5,HOSP_AJA_6,18.0,20.2,32.2,70.1,1.1,3.4,29572.9,0.67
9,AJAH,2021-01-01,51.63,106.32,44.65,14.08,40.77,HOSP_AJA_6,11.0,43.9,32.6,63.1,3.5,9.1,16243.1,0.41
10,AJAH,2021-01-01,100.13,92.57,46.48,15.11,32.06,HOSP_AJA_9,15.0,37.3,27.4,61.1,4.8,1.2,22890.1,0.49
11,AJAH,2021-01-01,77.45,107.4,59.52,11.91,43.97,HOSP_AJA_4,21.0,41.3,31.7,56.0,1.2,2.4,25582.9,0.22
12,AJAH,2021-01-01,70.39,82.25,53.39,17.3,20.17,HOSP_AJA_6,18.0,49.2,31.0,72.0,1.6,7.7,12287.9,0.38
13,AJAH,2021-01-01,65.21,124.09,48.86,9.41,50.23,HOSP_AJA_4,10.0,26.3,34.9,52.3,3.1,1.1,10034.8,0.64
14,AJAH,2021-01-01,66.97,113.52,51.62,18.58,20.16,HOSP_AJA_9,15.0,27.5,34.7,77.6,2.8,1.2,12655.4,0.71
15,AJAH,2021-01-01,66.66,127.33,39.35,10.08,31.25,HOSP_AJA_3,7.0,30.7,32.9,52.2,4.9,3.5,16811.5,0.87
16,AJAH,2021-01-01,84.57,89.85,56.02,11.26,30.26,HOSP_AJA_8,9.0,40.1,32.3,67.2,3.3,8.8,13343.3,0.89
17,AJAH,2021-01-01,115.99,136.98,46.95,23.32,31.1,HOSP_AJA_9,12.0,41.0,28.4,57.0,3.9,3.5,13938.5,0.33
18,AJAH,2021-01-01,59.47,127.22,49.25,15.76,24.76,HOSP_AJA_3,15.0,44.8,34.8,52.9,1.8,6.5,29870.0,0.54
19,AJAH,2021-01-01,85.79,105.71,46.48,15.4,41.51,HOSP_AJA_8,17.0,22.1,33.4,73.4,4.1,5.7,15587.7,0.23
20,AJAH,2021-01-01,27.36,83.28,52.27,10.3,31.27,HOSP_AJA_2,8.0,30.8,34.9,44.5,1.9,1.7,15787.4,0.69
